id,title,day,starttime,endtime,timezone,chair
O1,Opening,"Monday, March 29",08:30,10:00,Lisbon WEST UTC+1,Joaquim Jorge
O1,Welcome Reception (including TVCG Awards),"Monday, March 29",17:30,19:00,Lisbon WEST UTC+1,
O1,Closing,"Thursday, April 1",16:30,18:00,Lisbon WEST UTC+1,Joaquim Jorge
